Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,OxygenTanks,PopulationDensityPerSqKm
1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1,8262,867
2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1,9136,61
3,2020-02-01,6:00 PM,Kerala,2,0,0,0,2,3826,316
4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3,9789,806
5,2020-02-03,6:00 PM,Kerala,3,0,0,0,3,882,369
6,2020-02-04,6:00 PM,Kerala,3,0,0,0,3,7942,578
7,2020-02-05,6:00 PM,Kerala,3,0,0,0,3,6991,790
8,2020-02-06,6:00 PM,Kerala,3,0,0,0,3,1965,646
9,2020-02-07,6:00 PM,Kerala,3,0,0,0,3,2991,748
10,2020-02-08,6:00 PM,Kerala,3,0,0,0,3,906,831
11,2020-02-09,6:00 PM,Kerala,3,0,0,0,3,4621,149
12,2020-02-10,6:00 PM,Kerala,3,0,0,0,3,4904,468
13,2020-02-11,6:00 PM,Kerala,3,0,0,0,3,115,185
14,2020-02-12,6:00 PM,Kerala,3,0,0,0,3,798,1007
15,2020-02-13,6:00 PM,Kerala,3,0,0,0,3,3673,82
16,2020-02-14,6:00 PM,Kerala,3,0,0,0,3,1373,343
17,2020-02-15,6:00 PM,Kerala,3,0,0,0,3,5401,253
18,2020-02-16,6:00 PM,Kerala,3,0,0,0,3,139,780
19,2020-02-17,6:00 PM,Kerala,3,0,0,0,3,1451,451
20,2020-02-18,6:00 PM,Kerala,3,0,0,0,3,3597,417
21,2020-02-19,6:00 PM,Kerala,3,0,0,0,3,1527,730
22,2020-02-20,6:00 PM,Kerala,3,0,0,0,3,9915,500
23,2020-02-21,6:00 PM,Kerala,3,0,0,0,3,5287,286
24,2020-02-22,6:00 PM,Kerala,3,0,0,0,3,3443,770
25,2020-02-23,6:00 PM,Kerala,3,0,0,0,3,2865,574
26,2020-02-24,6:00 PM,Kerala,3,0,0,0,3,732,249
27,2020-02-25,6:00 PM,Kerala,3,0,0,0,3,60,505
28,2020-02-26,6:00 PM,Kerala,3,0,0,0,3,7368,749
29,2020-02-27,6:00 PM,Kerala,3,0,0,0,3,6100,471
30,2020-02-28,6:00 PM,Kerala,3,0,0,0,3,5204,486
31,2020-02-29,6:00 PM,Kerala,3,0,0,0,3,4576,596
32,2020-03-01,6:00 PM,Kerala,3,0,0,0,3,7686,537
33,2020-03-02,6:00 PM,Telengana,1,0,0,0,1,2032,836
34,2020-03-02,6:00 PM,Kerala,3,0,0,0,3,3329,757
35,2020-03-02,6:00 PM,Delhi,1,0,0,0,1,9518,195
36,2020-03-03,6:00 PM,Telengana,1,0,0,0,1,8962,429
37,2020-03-03,6:00 PM,Rajasthan,0,1,0,0,1,5699,299
38,2020-03-03,6:00 PM,Kerala,3,0,3,0,3,8251,586
39,2020-03-03,6:00 PM,Delhi,1,0,0,0,1,6113,640
40,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0,0,6,971,351
41,2020-03-04,6:00 PM,Kerala,3,0,3,0,3,926,582
42,2020-03-04,6:00 PM,Haryana,0,2,0,0,2,9880,612
43,2020-03-04,6:00 PM,Delhi,1,0,0,0,1,5692,606
44,2020-03-04,6:00 PM,Telengana,1,0,0,0,1,8284,573
45,2020-03-04,6:00 PM,Rajasthan,1,14,0,0,15,5987,812
