sno,state/unionterritory,confirmedindiannational,confirmedforeignnational,cured,deaths,confirmed,oxygentanks,populationdensitypersqkm,day,month,year,week,weekday_number,hour,am_pm,minute
1,18,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.8262652530506102,867,30,1,2020,5,3,6,1,0
2,18,0.005649717514124294,0.0,0.0,0.0,1.8592710318879856e-07,0.9136827365473095,61,31,1,2020,5,4,6,1,0
3,18,0.011299435028248588,0.0,0.0,0.0,3.718542063775971e-07,0.38257651530306064,316,1,2,2020,5,5,6,1,0
4,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.978995799159832,806,2,2,2020,5,6,6,1,0
5,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.08811762352470494,369,3,2,2020,6,0,6,1,0
6,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.794258851770354,578,4,2,2020,6,1,6,1,0
7,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.6991398279655932,790,5,2,2020,6,2,6,1,0
8,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.1964392878575715,646,6,2,2020,6,3,6,1,0
9,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.2990598119623925,748,7,2,2020,6,4,6,1,0
10,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.09051810362072414,831,8,2,2020,6,5,6,1,0
11,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.46209241848369675,149,9,2,2020,6,6,6,1,0
12,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.4903980796159232,468,10,2,2020,7,0,6,1,0
13,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.011402280456091218,185,11,2,2020,7,1,6,1,0
14,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.07971594318863773,1007,12,2,2020,7,2,6,1,0
15,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.3672734546909382,82,13,2,2020,7,3,6,1,0
16,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.13722744548909782,343,14,2,2020,7,4,6,1,0
17,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.5401080216043209,253,15,2,2020,7,5,6,1,0
18,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.013802760552110422,780,16,2,2020,7,6,6,1,0
19,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.14502900580116024,451,17,2,2020,8,0,6,1,0
20,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.3596719343868774,417,18,2,2020,8,1,6,1,0
21,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.15263052610522104,730,19,2,2020,8,2,6,1,0
22,18,0.01694915254237288,0.0,0.0,0.0,5.577813095663957e-07,0.9915983196639329,500,20,2,2020,8,3,6,1,0
